,index,Aspect_max,Aspect_median,Aspect_min,Eastness_max,Eastness_median,Eastness_min,Elevation_max,Elevation_median,Elevation_min,GaussianCurvature_max,GaussianCurvature_median,GaussianCurvature_min,Hillshade_max,Hillshade_median,Hillshade_min,HorizontalCurvature_max,HorizontalCurvature_median,HorizontalCurvature_min,MaximalCurvature_max,MaximalCurvature_median,MaximalCurvature_min,MeanCurvature_max,MeanCurvature_median,MeanCurvature_min,MinimalCurvature_max,MinimalCurvature_median,MinimalCurvature_min,Northness_max,Northness_median,Northness_min,ShapeIndex_max,ShapeIndex_median,ShapeIndex_min,Slope_max,Slope_median,Slope_min,VerticalCurvature_max,VerticalCurvature_median,VerticalCurvature_min,Aspect_max_city,Aspect_median_city,Aspect_min_city,Eastness_max_city,Eastness_median_city,Eastness_min_city,Elevation_max_city,Elevation_median_city,Elevation_min_city,GaussianCurvature_max_city,GaussianCurvature_median_city,GaussianCurvature_min_city,Hillshade_max_city,Hillshade_median_city,Hillshade_min_city,HorizontalCurvature_max_city,HorizontalCurvature_median_city,HorizontalCurvature_min_city,MaximalCurvature_max_city,MaximalCurvature_median_city,MaximalCurvature_min_city,MeanCurvature_max_city,MeanCurvature_median_city,MeanCurvature_min_city,MinimalCurvature_max_city,MinimalCurvature_median_city,MinimalCurvature_min_city,Northness_max_city,Northness_median_city,Northness_min_city,ShapeIndex_max_city,ShapeIndex_median_city,ShapeIndex_min_city,Slope_max_city,Slope_median_city,Slope_min_city,VerticalCurvature_max_city,VerticalCurvature_median_city,VerticalCurvature_min_city
0,0,359.93703145129587,87.17261374841307,0.061173883155484415,0.9999977211168106,0.402178992836385,-0.999942545085598,620.4532015424423,613.2177973694103,606.3679656330046,2.837440778391066e-07,-9.818365975519968e-10,-1.6245843699481993e-07,0.9999997130346885,0.9998741711321989,0.9988127384137832,0.0006021961750052364,-1.9282982218266315e-05,-0.0005521787605870277,0.0006923776246652612,0.00010329910734366228,-0.0005059571324796577,0.00043135863394459903,-1.4086562029401715e-06,-0.0005333818451189093,0.00034055477725197444,-0.00011679986147372157,-0.0006008291528637611,0.9999994300237014,0.738887249816174,-0.9999999747238353,27.160658683518317,-0.11654823997807791,-25.301022159523054,2.862693910079367,0.9931442117378932,0.055157009822845174,0.0005883218773961654,4.079329699422599e-06,-0.0005451758631362786,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
1,1,359.78652687801855,174.88226702195686,0.012413880056095021,0.9999552457978639,0.07496701180419764,-0.9999976319625317,620.467210794657,612.3144739139165,599.8108915284616,2.165488449383046e-07,-2.847994001957473e-09,-1.9009124392191695e-07,0.999999742175037,0.9996260384728757,0.9965337003812992,0.0005498491822627276,1.1063695814292429e-05,-0.0009129520473011648,0.0006720034739009285,0.00014309545208135232,-0.0002551682782378432,0.00047731713140777377,1.8935696436219845e-05,-0.0006367531243930839,0.0003710966108053902,-9.559179179324291e-05,-0.001132458156420473,0.999999976528555,-0.918591640452953,-0.9999970178771538,21.515374915514137,0.06019913542664397,-9.535284118662863,4.636377171067536,1.5141165714249418,0.03333530237357715,0.0005704585812506954,2.673813907881868e-05,-0.0010237119858143666,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
2,2,359.93174759470594,107.02014616466103,0.017481204534086782,0.9999984106186759,0.2634849820906225,-0.9989755312760195,615.1521784713773,608.1904873660822,598.7716850070631,1.9490674490575304e-07,-2.763018499630104e-09,-1.25340845634289e-07,0.9999999312005542,0.9998098212931156,0.9979088833382819,0.0005999223198422978,1.8441396342435446e-05,-0.0006667016167888924,0.000599322932056887,0.00012439351400726946,-0.0002987688195523561,0.00046073369617809706,-6.173815521166974e-06,-0.0004702808592133395,0.00032894297613993194,-0.00013350627057732,-0.0007508258807344905,0.9999999534555991,0.8471546734226942,-0.9999857808197868,15.817588518666637,-0.06246444432071624,-9.807351264744753,3.8389472004317504,1.1789647773255287,0.05335319261413116,0.0005773950290699148,-1.1439950132750406e-05,-0.0007297950894848886,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
3,3,359.88074875643736,76.7500577691645,0.02495183602617722,0.9999983570445276,0.23113968742938987,-0.9999998887125285,620.7230113257348,613.7865866525232,607.3101531505167,2.239781235466306e-07,-2.8354300252841262e-09,-1.1956821790609396e-07,0.9999999081611265,0.999896466145248,0.9986741915276871,0.0004654659689604057,3.2861849226077713e-06,-0.0007666839531580631,0.0005397082501852236,0.00010125170493549523,-0.0002832232971604401,0.00047650173481392986,-2.044573262441994e-06,-0.00044834672487566396,0.00042104202210232165,-0.00010324319816807368,-0.0008372729891065871,0.9999999051734941,0.8533306748492604,-0.9999993733655504,23.326394307726705,-0.13100611098144416,-21.944384546802837,2.9312329751330393,0.8976194218317773,0.011894112629903544,0.0005228546803501088,-3.5961310940319853e-06,-0.0007267969244447585,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
4,4,359.94110488979567,282.97925905130256,0.10772830474247778,0.999998710849216,-0.06567273984093883,-0.9998553010723197,642.7127743603154,624.3225801192619,616.0881857943863,7.637133345805204e-07,-3.2362109885727027e-09,-3.874666650050739e-07,0.9999999342379995,0.9997237051126128,0.9896966331010547,0.0013275783524237653,1.9600259747641885e-05,-0.00041167678536011313,0.0015068229592549297,0.00010293234444943794,-0.0002564319898042999,0.0009946936877998321,3.0634215471581255e-06,-0.00038092553277630127,0.0005980033374486267,-8.761958202546724e-05,-0.000735059379671202,0.999999471696876,0.940854777301318,-0.9999175475329775,36.83353034975764,0.11925208820000911,-19.402280431082765,8.151006493944463,1.4065193639840687,0.02855085830089697,0.0013460347777002012,-6.207125013548147e-06,-0.0006668826464070866,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
5,5,358.0683178175421,127.03890657868232,0.13813446927670678,0.9999999757751874,0.4879650637896028,-0.9996307038701092,637.186428116057,627.0732956871236,617.7394812058636,1.5385653697867318e-07,-5.472587216222021e-09,-4.741040971539633e-07,0.9999999145864129,0.9997231635026665,0.9891672012393533,0.001148647276113687,-2.448719283465404e-06,-0.00045041372656126166,0.0012069395711732348,0.00010345395385848859,-0.00027981649409836417,0.0005136506359840559,-2.0451008363223116e-05,-0.00043826657838213476,0.00032299029092146525,-0.00015467748436550927,-0.0006419387354408951,0.99999709377887,-0.05158129689608721,-0.9999999495059657,10.93882956199853,-0.12465134738957241,-27.984356712522644,8.35897433486052,1.4093639067832746,0.1014542892382587,0.0006783679571787186,-2.642134147200449e-05,-0.0006380875899300971,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
6,6,359.96350074887164,98.69997577388799,0.2664981852576944,0.9999163846073968,0.44170397299595315,-0.9993321245986421,612.1099850169791,606.7180917746232,601.8240941983547,1.0703539968019e-07,-2.352195614602519e-09,-7.586421846288279e-08,0.9999999830670081,0.9999217508324301,0.9990273732724801,0.0003302173951005733,-5.932883738782253e-06,-0.00041543448827379125,0.00046193537493380147,0.00010470098159068196,-0.0002860172016183484,0.00030619854202233206,1.6234323883395318e-06,-0.00033076451434072837,0.00024022034841951538,-0.00010189528860261651,-0.00041889097028961124,0.9999997970950544,0.7226094156399417,-0.9999425387237818,26.512391388077447,0.1284870935947238,-11.699953937192419,2.6345440266233684,0.8032019202474793,0.005928102047629102,0.0004620335331069563,-1.8146723676436525e-06,-0.0003940863044756425,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
7,7,359.8553787426788,122.70626188038946,0.3026021953655974,0.9999998438017584,0.5110652155087504,-0.9996702123941412,615.4702025013713,607.1893829179103,596.9550682301555,3.018911429588549e-07,-1.7735397187808388e-09,-1.7619742867944845e-07,0.9999998667860366,0.9998942641308508,0.9951680084847715,0.00047069947636641586,1.2310767517562148e-05,-0.0007922348336724214,0.0005407453198683027,0.00011048769892876252,-0.00046286183920908104,0.0003713524114309854,1.3354299148970828e-05,-0.0005964433792525123,0.0002889040936303041,-8.760239500289966e-05,-0.0009658903455133866,0.9999968144181023,-0.30123640488259223,-0.999999747516553,186.95992999648763,0.3942137726203425,-25.359474473303855,5.54777858253135,0.9826227932005548,0.015479421764315247,0.0005351826648641845,1.930942240099649e-05,-0.0008774776966428187,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
8,8,359.95232000234427,137.0627434468807,0.28909282324522473,0.9999892991728946,0.2608124979437728,-0.9999992066893637,608.7557467583063,603.0234950480298,594.6093454654704,3.2253939526312724e-07,-5.539795190785981e-09,-2.8076556479924567e-07,0.999999993735809,0.9997015471602181,0.9962897518390413,0.0006683611704843673,1.9801912509724777e-05,-0.0011799551278768826,0.0007112293841166577,0.00015651860677179207,-0.00036851398107424176,0.0005821193302775546,3.344839966220492e-06,-0.0006824123284339514,0.0004543558009757171,-0.00013417915472222248,-0.0011825869387304185,0.9999996537441136,0.12137520749831125,-0.9999981383451686,13.308835232695547,0.11494939496516766,-31.754008417302824,4.790338076877263,1.4555424533149421,0.024416433362220415,0.0006778753350049617,3.6385731333595977e-06,-0.0010538669209632812,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
9,9,359.9354599776863,52.74715022212342,0.1962049194287751,0.9999957616281038,0.43435018851350415,-0.9986656574711053,616.4246936810615,607.5598094452187,599.9859162451488,2.1220021757304212e-07,-2.7740632240610615e-09,-1.0316977774581935e-07,0.9999998038673431,0.9998972365171129,0.998081212903056,0.0005010912300694619,3.4254199834834403e-06,-0.00047958037329083483,0.0006120667653874799,0.00010113482097504375,-0.0002248174557600929,0.000479380662413057,-2.0664241837918614e-06,-0.00033226959866589187,0.000346694559438634,-9.727646060407266e-05,-0.0005182180982198626,0.9999993655711614,0.8401525861121177,-0.9999308350263325,13.69805960017768,-0.12361912338735456,-23.44595819737369,3.627055928529403,0.9293152035765899,0.024416433362220415,0.0005924557301575757,-3.834878918423441e-06,-0.0004205696860929849,359.9783608627866,136.90595158255218,0,0.999999999994394,0.27732402933823935,-0.9999999997707215,657.2892553977956,610.7532988408364,589.9999999999999,7.637133345805204e-07,-3.3497114003435492e-09,-4.741040971539633e-07,0.999999993735809,0.999849246438562,0.9881397733883612,0.0013275783524237653,7.593704949961358e-06,-0.0011799551278768826,0.0015068229592549297,0.00011432072881044712,-0.0005908287277231417,0.0009946936877998321,3.6934626074937985e-06,-0.0007723216357121674,0.0006240195995247699,-0.00011442931162726059,-0.001346791953360754,1,0.21100959028085073,-1,186.95992999648763,0.4077046189847475,-31.754008417302824,8.970299920168435,1.0933375925780806,7.927855720259978e-16,0.0013460347777002012,7.5164596376571e-06,-0.0011634260576861269
